# x	y	u	v	flags	mask
9.4903e+00	1.2536e+00	-3.1812e+00	3.6516e+00	0.0000e+00	0.0000e+00
9.6975e+00	1.2536e+00	3.0586e+00	-5.1376e+00	0.0000e+00	0.0000e+00
9.9047e+00	1.2536e+00	-1.8534e+00	1.1915e+00	0.0000e+00	0.0000e+00
1.0112e+01	1.2536e+00	-4.0958e-01	6.6675e-01	1.0000e+00	0.0000e+00
1.0319e+01	1.2536e+00	-9.1746e-02	7.5328e-01	1.0000e+00	0.0000e+00
1.0526e+01	1.2536e+00	-6.6666e-02	1.0346e+00	1.0000e+00	0.0000e+00
1.0734e+01	1.2536e+00	-8.2328e-02	1.0914e+00	1.0000e+00	0.0000e+00
1.0941e+01	1.2536e+00	1.5285e+00	-2.4309e+00	0.0000e+00	0.0000e+00
1.1148e+01	1.2536e+00	5.1030e+00	6.5460e-01	0.0000e+00	0.0000e+00
1.1355e+01	1.2536e+00	-4.0347e-01	1.0901e+00	1.0000e+00	0.0000e+00
1.1562e+01	1.2536e+00	-5.1379e-01	8.2695e-01	1.0000e+00	0.0000e+00
1.1770e+01	1.2536e+00	3.2930e+00	2.2378e+00	0.0000e+00	0.0000e+00
1.1977e+01	1.2536e+00	-3.4488e-01	6.2874e-01	1.0000e+00	0.0000e+00
1.2184e+01	1.2536e+00	-6.7378e-01	-4.8059e+00	0.0000e+00	0.0000e+00
1.2391e+01	1.2536e+00	-1.9618e-01	3.5259e-01	1.0000e+00	0.0000e+00
1.2598e+01	1.2536e+00	-4.9876e-01	2.7743e-01	1.0000e+00	0.0000e+00
1.2806e+01	1.2536e+00	-1.8448e-01	2.6918e-02	1.0000e+00	0.0000e+00
1.3013e+01	1.2536e+00	-1.9773e-01	1.0490e-01	1.0000e+00	0.0000e+00
1.3220e+01	1.2536e+00	-6.4875e+00	-2.1604e+00	0.0000e+00	0.0000e+00
1.3427e+01	1.2536e+00	1.5420e+00	-1.2439e+00	0.0000e+00	0.0000e+00
1.3634e+01	1.2536e+00	-9.0620e-01	-4.3692e-01	1.0000e+00	0.0000e+00
1.3842e+01	1.2536e+00	-1.1852e+00	-6.7495e-01	1.0000e+00	0.0000e+00
1.4049e+01	1.2536e+00	-9.3211e-01	-8.8294e-01	1.0000e+00	0.0000e+00
1.4256e+01	1.2536e+00	-1.2998e+00	-7.8135e-01	1.0000e+00	0.0000e+00
1.6577e-01	1.0464e+00	-3.1087e+00	4.5345e+00	0.0000e+00	0.0000e+00
3.7298e-01	1.0464e+00	7.7866e-01	3.1200e+00	0.0000e+00	0.0000e+00
5.8019e-01	1.0464e+00	-1.8080e+00	6.9088e+00	0.0000e+00	0.0000e+00
7.8740e-01	1.0464e+00	6.4353e-01	1.6392e+00	1.0000e+00	0.0000e+00
9.9461e-01	1.0464e+00	1.7206e-01	6.1201e+00	0.0000e+00	0.0000e+00
